15  S..Z...GK..Q.AT rack=AGKQSTZ   score=1821 unchallenged game=1079 player=Aaron_Green
15  QQQQQ........QQ rack=ADEGIOW   score=1750 unchallenged game=16697 player=New_Player_1
15  .......QQQQ.QQQ rack=ADEGIOW   score=1199 unchallenged game=16697 player=New_Player_1
15  ...QQ.QQQQ..Q.. rack=ADEGIOW   score=1063 unchallenged game=16697 player=New_Player_1
15  ...QQQQQ....... rack=???????   score= 857 unchallenged game=16697 player=New_Player_1
15  .EACTIVE....... rack=ACEEITV   score= 128 unchallenged game=1952 player=Player1
15  ZZ...Z...Z.Z.ZZ rack=ZZZZZZZ   score=1540 unchallenged game=3903 player=Noah_Walton
15  B..Z.XYC...H..S rack=BCHSXYZ   score=1830 unchallenged game=4876 player=New_Player_2
14  WETDAD........  rack=?ADETW    score=  70 unchallenged game=3902 player=Team_Joo
14  ......I.UQNILZ  rack=?ILNQUZ   score= 124 unchallenged game=4963 player=dacrON
14  ......I.UQNILZ  rack=?ILNQUZ   score= 124 unchallenged game=4964 player=dacrON
14  ......I.UQNILZ  rack=?ILNQUZ   score= 124 unchallenged game=4965 player=dacrON
13  DEAD.........   rack=ADDEEEE   score=  54 unchallenged game=1952 player=Player1
13  .......UPAGUS   rack=AGPSUUY   score=  69 unchallenged game=5867 player=New_Player_1
12  CRAI......T.    rack=AACIORT   score=  52 unchallenged game=17479 player=Josh
10  DRUSE.....      rack=DERSU     score=  57 unchallenged game=10000 player=Betsames
10  ...LOTEERS      rack=?EELORS   score=  72 unchallenged game=12460 player=Ken_Clark
10  SP..EL.IAS      rack=?AEILPS   score=  82 unchallenged game=15294 player=Matthew_Tunnicliffe
10  JOO.......      rack=CFJKOOU   score=  72 unchallenged game=1952 player=Player1
10  .T.L.WATER      rack=AELRTTW   score=  91 unchallenged game=2814 player=Pete
10  UNDE..ILE.      rack=??DEINU   score=  70 unchallenged game=4721 player=Lila_Crotty
10  NI.E.R.IES      rack=EEIINRS   score=  86 unchallenged game=4894 player=Tweedle_Dumb
10  L.EV.WJ.QY      rack=EJLQVWY   score= 100 challenged   game=6201 player=Jason
10  REDEF..D.D      rack=?DDEEFR   score=  70 unchallenged game=814 player=Dean
10  SALICAT...      rack=?AACILS   score=  78 challenged   game=9895 player=Conrad_Bassett-Bouchard
 9  INTERR..S       rack=EINRRST   score=  60 challenged   game=10112 player=Matthew_Tunnicliffe
 9  INTERR..S       rack=EINRRST   score=  60 challenged   game=10122 player=Matthew_Tunnicliffe
 9  IN.ER.IED       rack=DEEIINR   score=  63 challenged   game=10993 player=Nigel
 9  PECTO.A.E       rack=?AEEOPT   score=  67 challenged   game=11022 player=Nigel_Peltier
 9  UNC..TLED       rack=CDELNTU   score=  65 challenged   game=11058 player=Kolton_Koehler
 9  PRE..GHTS       rack=?EGPRST   score=  76 challenged   game=11058 player=Kolton_Koehler
 9  STUDE..NG       rack=DEGNSTU   score=  62 unchallenged game=11132 player=Matt_Canik
 9  STE.PI.GS       rack=EGIPSST   score=  63 unchallenged game=11263 player=Matthew_Tunnicliffe
 9  LIT.RAT.D       rack=ADILRTT   score=  80 challenged   game=12020 player=Evans
 9  UPFLOW..E       rack=?ELOPUW   score=  78 challenged   game=12880 player=Noah
 9  NON..MALE       rack=AELMNNO   score=  72 unchallenged game=12883 player=Noah
 9  NONTE.IO.       rack=?INNOOT   score=  66 challenged   game=13182 player=jim_k
 9  ..RPANIER       rack=AEINPRR   score=  74 unchallenged game=1349 player=Matthew
 9  DOMINO..G       rack=?DGINOO   score=  74 challenged   game=13534 player=Peter_Kougi
 9  F.I.TABLE       rack=?ABEFIT   score=  90 challenged   game=13630 player=Matthew_Larocque
 9  ..RRIEDER       rack=?DEEIRR   score=  89 challenged   game=13856 player=Matt_Canik
 9  ..ITARIES       rack=AEIIRST   score=  61 challenged   game=14238 player=Jason_Keller
 9  ..LENTERS       rack=?ELNRST   score=  77 unchallenged game=14681 player=Amalan_Iyengar
 9  CRI.CHE.S       rack=?CEHIRS   score=  91 challenged   game=15098 player=Joey
 9  FERV.O.ED       rack=DEEFORV   score=  86 challenged   game=15568 player=Brandon
 9  DIT.HABL.       rack=ABDHILT   score=  84 challenged   game=15973 player=Joshua_Sokol
 9  COREIGN..       rack=CEGINOR   score=  89 challenged   game=16229 player=Rebecca_Lambert
 9  RRNIME.G.       rack=EGIMNRR   score= 104 unchallenged game=16357 player=Susurrus
 9  RIOS...TV       rack=DIORSTV   score=  81 unchallenged game=16357 player=Susurrus
 9  RRNIME.G.       rack=EGIMNRR   score= 104 unchallenged game=16358 player=Susurrus
 9  ROIS...TV       rack=DIORSTV   score=  81 unchallenged game=16358 player=Susurrus
 9  EM..RSING       rack=EGIMNRS   score= 106 challenged   game=16551 player=Joshua_Sokol
 9  R.CUL.URE       rack=?CELRRU   score=  70 challenged   game=16791 player=Matt_Canik
 9  COVER..FS       rack=CEFORSV   score=  92 challenged   game=16801 player=Sue
 9  ...ULSINE       rack=EILNSSU   score=  39 unchallenged game=17336 player=Matthew_Tunnicliffe
 9  ...ULSINE       rack=EILNSSU   score=  39 unchallenged game=17368 player=Matthew_Tunnicliffe
 9  FLATBO..D       rack=?ABDFLO   score=  86 unchallenged game=17412 player=Matt_Canik
 9  ....EPLIN       rack=EIJLNPS   score=  54 unchallenged game=17479 player=Josh
 9  RAISON.E.       rack=AEINORS   score=  73 challenged   game=17488 player=Alec_Sjoholm
 9  VI..VOLTE       rack=?EILTVV   score=  66 challenged   game=17605 player=Josh
 9  ERASION..       rack=AEINORS   score=  72 challenged   game=1785 player=Ryan_Fischer
 9  PROLO.U.R       rack=LOOPRRU   score= 102 unchallenged game=18101 player=Josh
 9  .URGEONN.       rack=?EGNNRU   score=  74 challenged   game=18133 player=Josh
 9  ..SATISFY       rack=?FISSTY   score=  80 unchallenged game=18308 player=Mack_
 9  TERRI..NG       rack=EGINRRT   score=  70 challenged   game=18412 player=Matt_Canik
 9  ABJECT.V.       rack=ABCEJTV   score= 106 unchallenged game=18573 player=Will_
 9  WRASSLE..       rack=??LRSSW   score=  70 challenged   game=18762 player=Leesa
 9  .ASALIST.       rack=AAILSST   score=  63 unchallenged game=18823 player=Jason_Li
 9  ..ANGEMEN       rack=?AEEGNN   score=  74 challenged   game=18842 player=Cheryl_Tyler
 9  UNLEAK..G       rack=AEGKLNU   score=  72 challenged   game=18942 player=Josh_Greenway
 9  CR.W.ABLE       rack=ABCELRW   score=  92 challenged   game=18971 player=Matt_Canik
 9  INTRAI..D       rack=ADIINRT   score=  83 challenged   game=19116 player=Richard_Spence
 9  .R.STITIA       rack=AIIRSTT   score=  86 challenged   game=19221 player=Thomas_Reinke
 9  BAYO..TTE       rack=?ABEOTY   score=  84 unchallenged game=19225 player=armstrong
 9  O..TURNED       rack=DENORTU   score=  62 challenged   game=19322 player=Joel
 9  RESUPI..D       rack=DEIPRSU   score=  93 challenged   game=19587 player=E_Tran
 9  PROMIS..Y       rack=?IMOPRS   score=  74 unchallenged game=19681 player=Matt_Canik
 9  RESUPI..D       rack=DEIPRSU   score=  93 challenged   game=19929 player=Eric_Tran
 9  RESUPI..D       rack=DEIPRSU   score=  93 challenged   game=19966 player=Eric_Tran
 9  ADVIRTU..       rack=ADIRTUV   score=  92 challenged   game=20010 player=New_Player_1
 9  ..NALNESS       rack=?AELNSS   score=  83 challenged   game=20268 player=Matt_Canik
 9  CUTF.O..R       rack=?CFORT    score=  17 challenged   game=2156 player=Dave
 9  OMNIV..AS       rack=?AIMNOV   score=  64 challenged   game=2162 player=Dielle
 9  .B.EACTOI       rack=ABCEIOT   score=  88 unchallenged game=2570 player=Phil2
 9  QUOT.PE.R       rack=EOPQRTU   score=  90 unchallenged game=2575 player=Phil_2
 9  .ETANOID.       rack=?ADEINT   score=  68 unchallenged game=2593 player=Evans
 9  ....EWIND       rack=?EEINOW   score=  36 challenged   game=2782 player=David
 9  P.ISB.OED       rack=BDEIOPS   score= 118 unchallenged game=3028 player=Andy_Saunders
 9  ..AFENERS       rack=?AEFNRS   score=  98 unchallenged game=319 player=JL
 9  R..NANTED       rack=?DENNRT   score=  69 challenged   game=3230 player=New_Player_1
 9  OUTPHAS..       rack=AHOPSTU   score=  80 unchallenged game=3304 player=trashman
 9  RESTIR..D       rack=?DEIRST   score=  80 challenged   game=3622 player=Tony_Verma
 9  P..EONTIC       rack=??INOPT   score=  76 unchallenged game=3637 player=Jeff_Clark
 9  AETHER..Y       rack=EIKLNPR   score=  69 challenged   game=3827 player=Mark
 9  S.REAMIL.       rack=AEILMRS   score=  68 challenged   game=3972 player=Brendan_Sullivan
 9  ANTIAC..S       rack=AACINST   score=  80 challenged   game=4174 player=Raghu
 9  LINEA...G       rack=AEEGILN   score=  33 unchallenged game=4266 player=Matt_Canik
 9  .V.RSPEED       rack=?DEEPSV   score=  78 unchallenged game=4339 player=Cree
 9  ANTISWE..       rack=AEINSTW   score=  64 unchallenged game=4687 player=Chris_Sykes
 9  ENGREAS..       rack=AEEGNRS   score=  86 challenged   game=4753 player=Gregg_Speicher
 9  DOR..NTLY       rack=?DLNORT   score=  94 challenged   game=4795 player=Mike
 9  D..TULASE       rack=ADELSTU   score=  70 unchallenged game=4882 player=Gallant
 9  NE.RONE.S       rack=EENNORS   score=  76 unchallenged game=4903 player=Tweedle_Dumb
 9  .UTFOR.GE       rack=?EFORTU   score=  94 challenged   game=4924 player=tweedle_dumb
 9  .L.NMRBUG       rack=?GLMNRU   score=  84 unchallenged game=4963 player=Halo
 9  .L.NMRBUG       rack=?GLMNRU   score=  84 unchallenged game=4964 player=Halo
 9  .L.NMRBUG       rack=?GLMNRU   score=  84 unchallenged game=4965 player=Halo
 9  DAN..ANAS       rack=?AADNNS   score=  70 unchallenged game=4971 player=Tweedle_Dumber
 9  F..POWDER       rack=DEFOPRW   score= 131 unchallenged game=5034 player=Joo
 9  .ISC.NOMS       rack=CIMNOSS   score=  84 unchallenged game=5072 player=Bnjy
 9  BULB..AUR       rack=ABBLRUU   score= 102 unchallenged game=5834 player=Opponent
 9  QUALIT..E       rack=?AELQTU   score=  68 challenged   game=6309 player=Carl
 9  ..RODIERS       rack=DEIORRS   score=  68 challenged   game=6380 player=Jacob_Williams
 9  W.TOOTSI.       rack=IOOSTTW   score=  63 unchallenged game=6801 player=Leah
 9  ..REGILTS       rack=?EGILRT   score=  89 challenged   game=6804 player=Tunnicliffe
 9  ..REGILDT       rack=?EGILRT   score=  89 challenged   game=6804 player=Tunnicliffe
 9  UNDEFL.T.       rack=??DEFLN   score=  88 challenged   game=7268 player=Barncat
 9  DIA..LONS       rack=?ADILOS   score=  94 challenged   game=7534 player=O'Laughlin
 9  NANO..ULE       rack=??ELNOU   score= 106 challenged   game=7575 player=Evans_Clinchy
 9  GONH..REA       rack=AEGHNOR   score=  69 challenged   game=7838 player=bnjy
 9  .A.INIDES       rack=ADEIINS   score=  76 challenged   game=7914 player=Kenji
 9  ITIU..SNA       rack=AIINSTU   score=  90 unchallenged game=8011 player=trey
 9  .VRSEN.ZA       rack=AENRSVZ   score=  92 unchallenged game=8264 player=XKCPLoan
 9  .ULT.ERES       rack=EELRSTU   score=  74 unchallenged game=8264 player=XKCPLoan
 9  .TOI.NENA       rack=AEINNOT   score= 120 unchallenged game=8264 player=Dacroloan
 9  HAYM.R.ET       rack=?AEHMRT   score=  75 challenged   game=8739 player=Joel_Horn
 9  ...RIONNE       rack=AEINNOR   score=  45 challenged   game=9312 player=Ryan_Fischer
 9  ..STRUGAS       rack=?AGRSTU   score=  72 unchallenged game=9483 player=Ryan_Fischer
 9  BROWN.I.E       rack=?BEINRW   score=  75 challenged   game=9616 player=Juraj_Pivovarov
 9  ..BREVITY       rack=?BIRTVY   score=  84 challenged   game=9894 player=Chollapat_Itthi-aree
 9  OV..TRAIL       rack=AILORTV   score=  63 challenged   game=9932 player=Victor_Gwee
 8  UNGR.TED        rack=DEGNRTU   score=  70 challenged   game=10018 player=Doug_Riblet
 8  GYMNA.AL        rack=?AGLMNY   score=  76 unchallenged game=10028 player=James
 8  AB.ADORS        rack=AABDORS   score=  72 unchallenged game=10057 player=Pete
 8  LO.ERIES        rack=EEILORS   score=  64 challenged   game=10077 player=Joey
 8  TRULIES.        rack=ADFIJMP   score=  77 challenged   game=1010 player=Mark_Berg
 8  .OTALERS        rack=AELORST   score=  77 challenged   game=10115 player=Jason_Ubeika
 8  ARGUEIN.        rack=AEGINRU   score=  62 unchallenged game=10117 player=Jason
 8  EBO.ITIC        rack=?BEIIOT   score=  70 unchallenged game=10147 player=dacrON
 8  .ANDIDAE        rack=AADDEIN   score=  92 unchallenged game=10198 player=Ryan_Fischer
 8  LEG.TERS        rack=EEGLRST   score=  68 unchallenged game=10204 player=Heather
 8  RE.ATHED        rack=?ADEEHR   score=  92 unchallenged game=10204 player=Heather
